Year,LocationAbbr,LocationDesc,DataSource,Topic,Subtopic,ShortQuestionText,Greater_Risk_Question,Description,Data_Value_Symbol,Data_Value_Type,Greater_Risk_Data_Value,Greater_Risk_Data_Value_Footnote_Symbol,Greater_Risk_Data_Value_Footnote,Greater_Risk_Low_Confidence_Limit,Greater_Risk_High_Confidence_Limit,Lesser_Risk_Question,Lesser_Risk_Data_Value,Lesser_Risk_Data_Value_Footnote_Symbol,Lesser_Risk_Data_Value_Footnote,Lesser_Risk_High_Confidence_Limit,Lesser_Risk_Low_Confidence_Limit,Sample_Size,Sex,Age,GeoLocation,TopicID,SubtopicID,QuestionCode,LocationId,StratID1,StratID2,StratID3,StratificationType
2012,HN,Honduras,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 2 day,Ate food from a fast food restaurant on two or more days,during the 7 days before the survey,%,Percentage,20.706,,,14.8991,28.0306,N/A,79.294,,,85.1009,71.9694,223,Male,14,,C05,C44,QNFF2G,NULL,S8,A3,HN,Americas
2010,OM,Oman,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 2 day,Ate food from a fast food restaurant on two or more days,during the 7 days before the survey,%,Percentage,38.8445,,,33.0213,45.0045,N/A,61.1555,,,66.9787,54.9955,972,Total,13-15,,C05,C44,QNFF2G,NULL,S1,A7,OM,Eastern Mediterranean
2011,YSM,Malaysia - M,GSHS,Dietary Behaviors,Fast Food,Fast food eating,Ate food from a fast food restaurant,during the 7 days before the survey,%,Percentage,47.7909,,,37.1226,58.6645,Did not eat food from a fast food restaurant,52.2091,,,62.8774,41.3355,186,Female,14,,C05,C44,G10,NULL,S7,A3,YSM,Western Pacific
2012,GHD,Ghana Senior High,GSHS,Dietary Behaviors,Fast Food,Fast food eating,Ate food from a fast food restaurant,during the 7 days before the survey,%,Percentage,57.2771,,,51.1911,63.1505,Did not eat food from a fast food restaurant,42.7229,,,48.8089,36.8495,187,Female,17,,C05,C44,G10,NULL,S7,A6,GHD,African
2013,VN,Vietnam,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 3 day,Ate food from a fast food restaurant on three or more days,during the 7 days before the survey,%,Percentage,8.7829,,,7.0511,10.8903,N/A,91.2171,,,92.9489,89.1097,1613,Female,13-17,,C05,C44,QNFF3G,NULL,S7,A8,VN,Western Pacific
2012,BLB,Bolivia Plains,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 3 day,Ate food from a fast food restaurant on three or more days,during the 7 days before the survey,%,Percentage,20.0362,,,12.2445,31.0328,N/A,79.9638,,,87.7555,68.9672,252,Total,14,,C05,C44,QNFF3G,NULL,S1,A3,BLB,Americas
2011,YSH,Malaysia - H,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 2 day,Ate food from a fast food restaurant on two or more days,during the 7 days before the survey,%,Percentage,13.9334,,,8.4531,22.1086,N/A,86.0666,,,91.5469,77.8914,413,Total,15,,C05,C44,QNFF2G,NULL,S1,A4,YSH,Western Pacific
2010,UWE,UNRWA Syria,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 3 day,Ate food from a fast food restaurant on three or more days,during the 7 days before the survey,%,Percentage,24.6029,,,21.2228,28.3278,N/A,75.3971,,,78.7772,71.6722,385,Male,14,,C05,C44,QNFF3G,NULL,S8,A3,UWE,Eastern Mediterranean
2011,DZ,Algeria,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 3 day,Ate food from a fast food restaurant on three or more days,during the 7 days before the survey,%,Percentage,29.9734,,,25.7209,34.6015,N/A,70.0266,,,74.2791,65.3985,1346,Male,13-15,,C05,C44,QNFF3G,NULL,S8,A7,DZ,African
2015,MZ,Mozambique,GSHS,Dietary Behaviors,Fast Food,Fast food eating,Ate food from a fast food restaurant,during the 7 days before the survey,%,Percentage,68.5614,,,55.1944,79.427,Did not eat food from a fast food restaurant,31.4386,,,44.8056,20.573,153,Total,14,,C05,C44,G10,NULL,S1,A3,MZ,African
2012,GHH,Ghana Junior High,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 3 day,Ate food from a fast food restaurant on three or more days,during the 7 days before the survey,%,Percentage,31.5074,,,25.7111,37.943,N/A,68.4926,,,74.2889,62.057,752,Female,Total,,C05,C44,QNFF3G,NULL,S7,A1,GHH,African
2013,MG,Mongolia,GSHS,Dietary Behaviors,Fast Food,Fast food eating,Ate food from a fast food restaurant,during the 7 days before the survey,%,Percentage,56.5798,,,49.3265,63.5618,Did not eat food from a fast food restaurant,43.4202,,,50.6735,36.4382,730,Total,16,,C05,C44,G10,NULL,S1,A5,MG,Western Pacific
2012,AGC,Argentina Chaco,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 2 day,Ate food from a fast food restaurant on two or more days,during the 7 days before the survey,%,Percentage,9.591,,,6.3032,14.3314,N/A,90.409,,,93.6968,85.6686,126,Female,15,,C05,C44,QNFF2G,NULL,S7,A4,AGC,Americas
2012,UYA,Uruguay (Rest of Country),GSHS,Dietary Behaviors,Fast Food,Fast food eating,Ate food from a fast food restaurant,during the 7 days before the survey,%,Percentage,45.4802,,,38.375,52.7743,Did not eat food from a fast food restaurant,54.5198,,,61.625,47.2257,515,Total,15,,C05,C44,G10,NULL,S1,A4,UYA,Americas
2015,TH,Thailand,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 2 day,Ate food from a fast food restaurant on two or more days,during the 7 days before the survey,%,Percentage,68.163,,,59.3714,75.8268,N/A,31.837,,,40.6286,24.1732,256,Male,16,,C05,C44,QNFF2G,NULL,S8,A5,TH,South-East Asia
2010,GY,Guyana,GSHS,Dietary Behaviors,Fast Food,Fast food eating,Ate food from a fast food restaurant,during the 7 days before the survey,%,Percentage,51.5362,,,47.4824,55.57,Did not eat food from a fast food restaurant,48.4638,,,52.5176,44.43,732,Total,15,,C05,C44,G10,NULL,S1,A4,GY,Americas
2015,PIE,Philippines (Malita),GSHS,Dietary Behaviors,Fast Food,Fast food eating,Ate food from a fast food restaurant,during the 7 days before the survey,%,Percentage,,,,,,Did not eat food from a fast food restaurant,,,,,,98,Male,15,,C05,C44,G10,NULL,S8,A4,PIE,Western Pacific
2012,BLA,Bolivia Highland,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 3 day,Ate food from a fast food restaurant on three or more days,during the 7 days before the survey,%,Percentage,19.5913,,,14.1379,26.499,N/A,80.4087,,,85.8621,73.501,169,Female,13,,C05,C44,QNFF3G,NULL,S7,A2,BLA,Americas
2015,IOA,Indonesia (Java),GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 2 day,Ate food from a fast food restaurant on two or more days,during the 7 days before the survey,%,Percentage,25.8833,,,22.9974,28.9951,N/A,74.1167,,,77.0026,71.0049,1762,Male,Total,,C05,C44,QNFF2G,NULL,S8,A1,IOA,South-East Asia
2010,UWE,UNRWA Syria,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 3 day,Ate food from a fast food restaurant on three or more days,during the 7 days before the survey,%,Percentage,20.2638,,,17.5664,23.2585,N/A,79.7362,,,82.4336,76.7415,2105,Total,Total,,C05,C44,QNFF3G,NULL,S1,A1,UWE,Eastern Mediterranean
2011,PIB,Philippines (Visayas),GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 3 day,Ate food from a fast food restaurant on three or more days,during the 7 days before the survey,%,Percentage,6.3012,,,3.7896,10.2992,N/A,93.6988,,,96.2104,89.7008,295,Total,13,,C05,C44,QNFF3G,NULL,S1,A2,PIB,Western Pacific
2015,MZ,Mozambique,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 2 day,Ate food from a fast food restaurant on two or more days,during the 7 days before the survey,%,Percentage,35.613,,,24.6019,48.3894,N/A,64.387,,,75.3981,51.6106,164,Male,17,,C05,C44,QNFF2G,NULL,S8,A6,MZ,African
2009,CR,Costa Rica,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 2 day,Ate food from a fast food restaurant on two or more days,during the 7 days before the survey,%,Percentage,25.7304,,,19.7566,32.7728,N/A,74.2696,,,80.2434,67.2272,340,Male,15,,C05,C44,QNFF2G,NULL,S8,A4,CR,Americas
2012,AGH,Argentina Entre Rios,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 2 day,Ate food from a fast food restaurant on two or more days,during the 7 days before the survey,%,Percentage,,,,,,N/A,,,,,,86,Male,13,,C05,C44,QNFF2G,NULL,S8,A2,AGH,Americas
2009,ANA,Antigua,GSHS,Dietary Behaviors,Fast Food,Fast food eating,Ate food from a fast food restaurant,during the 7 days before the survey,%,Percentage,62.9272,,,58.0007,67.5986,Did not eat food from a fast food restaurant,37.0728,,,41.9993,32.4014,609,Female,Total,,C05,C44,G10,NULL,S7,A1,ANA,Americas
2011,YSB,Malaysia - B,GSHS,Dietary Behaviors,Fast Food,Fast food eating,Ate food from a fast food restaurant,during the 7 days before the survey,%,Percentage,42.8537,,,39.4227,46.3548,Did not eat food from a fast food restaurant,57.1463,,,60.5773,53.6452,924,Female,Total,,C05,C44,G10,NULL,S7,A1,YSB,Western Pacific
2015,WF,Wallis and Futuna,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 3 day,Ate food from a fast food restaurant on three or more days,during the 7 days before the survey,%,Percentage,,,,,,N/A,,,,,,92,Female,15,,C05,C44,QNFF3G,NULL,S7,A4,WF,Western Pacific
2012,AGL,Argentina La Rioja,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 3 day,Ate food from a fast food restaurant on three or more days,during the 7 days before the survey,%,Percentage,6.1238,,,3.2472,11.2522,N/A,93.8762,,,96.7528,88.7478,161,Male,14,,C05,C44,QNFF3G,NULL,S8,A3,AGL,Americas
2010,MG,Mongolia,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 3 day,Ate food from a fast food restaurant on three or more days,during the 7 days before the survey,%,Percentage,15.5842,,,12.2778,19.5823,N/A,84.4158,,,87.7222,80.4177,487,Male,14,,C05,C44,QNFF3G,NULL,S8,A3,MG,Western Pacific
2011,PIC,Philippines (Mindanao),GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 3 day,Ate food from a fast food restaurant on three or more days,during the 7 days before the survey,%,Percentage,6.8912,,,3.4871,13.1649,N/A,93.1088,,,96.5129,86.8351,190,Male,15,,C05,C44,QNFF3G,NULL,S8,A4,PIC,Western Pacific
2011,DZ,Algeria,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 2 day,Ate food from a fast food restaurant on two or more days,during the 7 days before the survey,%,Percentage,22.2333,,,19.2051,25.5878,N/A,77.7667,,,80.7949,74.4122,2321,Female,Total,,C05,C44,QNFF2G,NULL,S7,A1,DZ,African
2014,MVB,Maldives (Atolls),GSHS,Dietary Behaviors,Fast Food,Fast food eating,Ate food from a fast food restaurant,during the 7 days before the survey,%,Percentage,25.8623,,,20.9944,31.4101,Did not eat food from a fast food restaurant,74.1377,,,79.0056,68.5899,545,Female,13-15,,C05,C44,G10,NULL,S7,A7,MVB,South-East Asia
2015,CW,Curacao,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 2 day,Ate food from a fast food restaurant on two or more days,during the 7 days before the survey,%,Percentage,42.3772,,,39.4116,45.3987,N/A,57.6228,,,60.5884,54.6013,1056,Female,13-17,,C05,C44,QNFF2G,NULL,S7,A8,CW,Americas
2012,AGV,Argentina Santiago del Estero,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 3 day,Ate food from a fast food restaurant on three or more days,during the 7 days before the survey,%,Percentage,7.6733,,,3.2937,16.861,N/A,92.3267,,,96.7063,83.139,113,Female,13,,C05,C44,QNFF3G,NULL,S7,A2,AGV,Americas
2012,AGL,Argentina La Rioja,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 3 day,Ate food from a fast food restaurant on three or more days,during the 7 days before the survey,%,Percentage,8.7367,,,4.5013,16.2778,N/A,91.2633,,,95.4987,83.7222,186,Female,15,,C05,C44,QNFF3G,NULL,S7,A4,AGL,Americas
2010,SY,Syria,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 3 day,Ate food from a fast food restaurant on three or more days,during the 7 days before the survey,%,Percentage,9.6587,,,6.4161,14.2897,N/A,90.3413,,,93.5839,85.7103,526,Female,13,,C05,C44,QNFF3G,NULL,S7,A2,SY,Eastern Mediterranean
2015,PID,Philippines (Davao City),GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 3 day,Ate food from a fast food restaurant on three or more days,during the 7 days before the survey,%,Percentage,15.9651,,,12.0781,20.807,N/A,84.0349,,,87.9219,79.193,457,Total,13,,C05,C44,QNFF3G,NULL,S1,A2,PID,Western Pacific
2009,GTA,Guatemala (Rest of Country),GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 3 day,Ate food from a fast food restaurant on three or more days,during the 7 days before the survey,%,Percentage,9.1886,,,5.8769,14.0869,N/A,90.8114,,,94.1231,85.9131,268,Male,15,,C05,C44,QNFF3G,NULL,S8,A4,GTA,Americas
2013,KH,Cambodia,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 3 day,Ate food from a fast food restaurant on three or more days,during the 7 days before the survey,%,Percentage,3.6128,,,2.3081,5.6127,N/A,96.3872,,,97.6919,94.3873,1279,Male,13-17,,C05,C44,QNFF3G,NULL,S8,A8,KH,Western Pacific
2015,PIC,Philippines (Mindanao),GSHS,Dietary Behaviors,Fast Food,Fast food eating,Ate food from a fast food restaurant,during the 7 days before the survey,%,Percentage,35.595,,,23.5013,49.856,Did not eat food from a fast food restaurant,64.405,,,76.4987,50.144,175,Male,16,,C05,C44,G10,NULL,S8,A5,PIC,Western Pacific
2015,CS,Cook Islands,GSHS,Dietary Behaviors,Fast Food,Fast food eating,Ate food from a fast food restaurant,during the 7 days before the survey,%,Percentage,74.0306,,,63.1334,82.5948,Did not eat food from a fast food restaurant,25.9694,,,36.8666,17.4052,70,Male,15,,C05,C44,G10,NULL,S8,A4,CS,Western Pacific
2012,AGV,Argentina Santiago del Estero,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 2 day,Ate food from a fast food restaurant on two or more days,during the 7 days before the survey,%,Percentage,13.7029,,,6.4333,26.8313,N/A,86.2971,,,93.5667,73.1687,113,Female,13,,C05,C44,QNFF2G,NULL,S7,A2,AGV,Americas
2015,GTB,Guatemala (Capital City Private),GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 3 day,Ate food from a fast food restaurant on three or more days,during the 7 days before the survey,%,Percentage,16.0178,,,9.4815,25.7769,N/A,83.9822,,,90.5185,74.2231,555,Male,13-15,,C05,C44,QNFF3G,NULL,S8,A7,GTB,Americas
2015,THA,Thailand (Public),GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 2 day,Ate food from a fast food restaurant on two or more days,during the 7 days before the survey,%,Percentage,64.09,,,59.1069,68.7865,N/A,35.91,,,40.8931,31.2135,948,Male,13-17,,C05,C44,QNFF2G,NULL,S8,A8,THA,South-East Asia
2012,AGT,Argentina Santa Cruz,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 2 day,Ate food from a fast food restaurant on two or more days,during the 7 days before the survey,%,Percentage,9.0286,,,6.0601,13.2463,N/A,90.9714,,,93.9399,86.7537,673,Female,Total,,C05,C44,QNFF2G,NULL,S7,A1,AGT,Americas
2009,MV,Maldives,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 3 day,Ate food from a fast food restaurant on three or more days,during the 7 days before the survey,%,Percentage,13.5062,,,11.8178,15.3936,N/A,86.4938,,,88.1822,84.6064,1950,Total,13-15,,C05,C44,QNFF3G,NULL,S1,A7,MV,South-East Asia
2011,KW,Kuwait,GSHS,Dietary Behaviors,Fast Food,Fast food eating,Ate food from a fast food restaurant,during the 7 days before the survey,%,Percentage,95.2234,,,90.3816,97.6902,Did not eat food from a fast food restaurant,4.7766,,,9.6184,2.3098,413,Female,15,,C05,C44,G10,NULL,S7,A4,KW,Eastern Mediterranean
2014,AF,Afghanistan,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 3 day,Ate food from a fast food restaurant on three or more days,during the 7 days before the survey,%,Percentage,20.1338,,,16.6617,24.1201,N/A,79.8662,,,83.3383,75.8799,1369,Total,13-15,,C05,C44,QNFF3G,NULL,S1,A7,AF,Eastern Mediterranean
2012,UYA,Uruguay (Rest of Country),GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 2 day,Ate food from a fast food restaurant on two or more days,during the 7 days before the survey,%,Percentage,19.4393,,,16.6964,22.511,N/A,80.5607,,,83.3036,77.489,806,Male,Total,,C05,C44,QNFF2G,NULL,S8,A1,UYA,Americas
2012,AGU,Argentina Santa Fe,GSHS,Dietary Behaviors,Fast Food,Fast food eating,Ate food from a fast food restaurant,during the 7 days before the survey,%,Percentage,24.6666,,,17.7321,33.218,Did not eat food from a fast food restaurant,75.3334,,,82.2679,66.782,216,Female,15,,C05,C44,G10,NULL,S7,A4,AGU,Americas
2010,MJ,Mauritania,GSHS,Dietary Behaviors,Fast Food,Fast food eating,Ate food from a fast food restaurant,during the 7 days before the survey,%,Percentage,64.3256,,,58.1925,70.0224,Did not eat food from a fast food restaurant,35.6744,,,41.8075,29.9776,589,Total,15,,C05,C44,G10,NULL,S1,A4,MJ,African
2011,WS,Samoa,GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 2 day,Ate food from a fast food restaurant on two or more days,during the 7 days before the survey,%,Percentage,50.7868,,,46.3665,55.1948,N/A,49.2132,,,53.6335,44.8052,970,Total,14,,C05,C44,QNFF2G,NULL,S1,A3,WS,Western Pacific
2015,PI,Philippines,GSHS,Dietary Behaviors,Fast Food,Fast food eating,Ate food from a fast food restaurant,during the 7 days before the survey,%,Percentage,47.4973,,,41.9383,53.1191,Did not eat food from a fast food restaurant,52.5027,,,58.0617,46.8809,1884,Total,15,,C05,C44,G10,NULL,S1,A4,PI,Western Pacific
2011,SK,Saint Kitts & Nevis,GSHS,Dietary Behaviors,Fast Food,Fast food eating,Ate food from a fast food restaurant,during the 7 days before the survey,%,Percentage,65.4204,,,62.1409,68.5595,Did not eat food from a fast food restaurant,34.5796,,,37.8591,31.4405,815,Female,13-15,,C05,C44,G10,NULL,S7,A7,SK,Americas
2011,TTA,Trinidad and Tobago (Trinidad),GSHS,Dietary Behaviors,Fast Food,Fast food eating >= 2 day,Ate food from a fast food restaurant on two or more days,during the 7 days before the survey,%,Percentage,41.9327,,,34.6956,49.5343,N/A,58.0673,,,65.3044,50.4657,538,Female,13-15,,C05,C44,QNFF2G,NULL,S7,A7,TTA,Americas
